name,color,parent_category,lucide_icon
Digital Gold Purchase,#0f766e,08 Invest-it,coins
Unplanned Social Spend,#ef4444,14 Cash Leakage Watchlist,users
Business Loan EMI,#7c3aed,05 Debt & Credit,briefcase
Home Repairs Planned,#0891b2,06 Planned Needs,hammer
Fitness Classes,#f97316,03 Spend-it Wants,dumbbell
Income Tax Payment,#ca8a04,12 Taxes & Compliance,landmark
Portfolio Rebalance,#0f766e,08 Invest-it,shuffle
Emergency Fund Contribution,#dc2626,04 Protect,shield
Fitness Gear,#ec4899,07 Planned Wants,dumbbell
Personal Development Course Optional,#ec4899,07 Planned Wants,book-open
Needs Review,#334155,15 Review Buckets,clipboard-check
Business Assets,#475569,09 Assets & Net Worth,briefcase-business
Borrowed Money Received,#7c3aed,05 Debt & Credit,hand-coins
Recurring Deposit,#0f766e,08 Invest-it,calendar-days
Business Equipment Essential,#0891b2,06 Planned Needs,briefcase
Debt Fund Investment,#0f766e,08 Invest-it,landmark
Job Loss Buffer,#dc2626,04 Protect,briefcase
Religious / Community Giving,#be123c,13 Family & Giving,flower-2
Gifting Fund Optional,#ec4899,07 Planned Wants,gift
Income Protection Buffer,#dc2626,04 Protect,shield-check
Document Renewal Reserve,#dc2626,04 Protect,file-check
Gas,#2563eb,02 Spend-it Needs,flame
Zerodha Coin Mutual Funds,#475569,09 Assets & Net Worth,pie-chart
Website Tools,#9333ea,11 Work & Business,layout-template
Wallet Withdrawal,#64748b,10 Transfers & Adjustments,wallet
Anniversary / Birthday Plan,#ec4899,07 Planned Wants,cake
Packaging Samples,#9333ea,11 Work & Business,package
Dividend Reinvestment,#0f766e,08 Invest-it,refresh-cw
Emergency Fund Review,#334155,15 Review Buckets,shield-check
Education / Course Essential,#0891b2,06 Planned Needs,graduation-cap
Games,#f97316,03 Spend-it Wants,gamepad-2
Goal Investment,#0f766e,08 Invest-it,target
Annual Insurance Reserve,#dc2626,04 Protect,calendar-clock
Parents Support Essential,#2563eb,02 Spend-it Needs,heart
Goal Funding Review,#334155,15 Review Buckets,target
Courier / Shipping Business,#9333ea,11 Work & Business,truck
Reversal,#64748b,10 Transfers & Adjustments,rotate-ccw
Movies / Events,#f97316,03 Spend-it Wants,ticket
Home Loan EMI,#7c3aed,05 Debt & Credit,home
Rent Deposit / Moving Cost,#0891b2,06 Planned Needs,home
Printing / Proofing,#9333ea,11 Work & Business,printer
